iter	MultiClass
0	1.58317538
1	1.443326986
2	1.289147401
3	1.160505699
4	1.10164113
5	1.035708402
6	0.9611234823
7	0.9112538445
8	0.8472192385
9	0.783031754
10	0.744911625
11	0.7159414182
12	0.6927341903
13	0.676696946
14	0.6517678373
15	0.6182240114
16	0.6000852664
17	0.5865882207
18	0.5628033809
19	0.5434986852
20	0.5191683992
21	0.4924667075
22	0.4467894671
23	0.4195882689
24	0.3945015018
25	0.3782719388
26	0.3506248961
27	0.3490298893
28	0.3310733506
29	0.3292526625
30	0.3096341689
31	0.3079250205
32	0.3055375758
33	0.3036916432
34	0.2955743171
35	0.2942456096
36	0.2747606866
37	0.2732727058
38	0.2717448232
39	0.2688151611
40	0.2673960858
41	0.2660322548
42	0.2646831238
43	0.2630225811
44	0.2617898044
45	0.2606005989
46	0.2529351845
47	0.2519143605
48	0.2503845399
49	0.2490980916
50	0.2483318633
51	0.2470768309
52	0.2397617543
53	0.2330582191
54	0.2319627585
55	0.2236775824
56	0.2228825385
57	0.2219241087
58	0.2116171162
59	0.2061805945
60	0.205374751
61	0.2040929437
62	0.2028437715
63	0.2017103246
64	0.2009271506
65	0.1998814567
66	0.1953448125
67	0.1944804335
68	0.1935075446
69	0.1927205795
70	0.1918019136
71	0.1908740069
72	0.1899541513
73	0.1888828034
74	0.1879824788
75	0.1873840657
76	0.1867726985
77	0.1861429631
78	0.1855728122
79	0.1786341567
80	0.177836134
81	0.1771548762
82	0.1720512878
83	0.1714503241
84	0.170794105
85	0.1702413068
86	0.1697149613
87	0.161182913
88	0.1606746563
89	0.1601593352
90	0.1595052513
91	0.1550692305
92	0.1544904264
93	0.1525145427
94	0.1519713959
95	0.151511074
96	0.1473315352
97	0.1469049371
98	0.1433876365
99	0.1428385976
100	0.1412834061
101	0.1408068804
102	0.1403482058
103	0.1397200847
104	0.1392255629
105	0.1388165275
106	0.1353521404
107	0.1348922227
108	0.1344088607
109	0.1339692943
110	0.1334833735
111	0.1330412299
112	0.1323506049
113	0.1297991465
114	0.1293170707
115	0.1282135241
116	0.1277849086
117	0.1271358986
118	0.1258088965
119	0.1254522508
120	0.1250056606
121	0.1246549692
122	0.1215326762
123	0.1210510498
124	0.1206928045
125	0.1200539986
126	0.1197431709
127	0.1194859861
128	0.1174705355
129	0.1170065521
130	0.1149941216
131	0.1147083617
132	0.1119165916
133	0.1115616283
134	0.1093314847
135	0.1080866732
136	0.1077015228
137	0.1074215495
138	0.1070432001
139	0.1051921857
140	0.1050052502
141	0.1030140756
142	0.1010689489
143	0.1007619242
144	0.1004869296
145	0.1002730519
146	0.09774485688
147	0.0975439475
148	0.09663474214
149	0.09640975691
150	0.09619446677
151	0.09597599995
152	0.09577507459
153	0.09554875685
154	0.09528429376
155	0.09502154539
156	0.09477305738
157	0.09455414936
158	0.09430092342
159	0.09408943609
160	0.09388295641
161	0.09368546428
162	0.09348032944
163	0.09327232418
164	0.09303483459
165	0.0928293877
166	0.09260509545
167	0.09242103196
168	0.09225460407
169	0.09203591299
170	0.08931227995
171	0.08870972635
172	0.08846513856
173	0.08830122353
174	0.08809857554
175	0.08778144587
176	0.08699116956
177	0.0867568436
178	0.08658275349
179	0.08586468335
180	0.08559692816
181	0.08544227628
182	0.08408067878
183	0.08211681714
184	0.08191508406
185	0.08173917863
186	0.08063777945
187	0.08045133605
188	0.08030689335
189	0.07854541624
190	0.0783581799
191	0.07818338649
192	0.07799863033
193	0.07781937457
194	0.07764610538
195	0.07571785232
196	0.07344024114
197	0.07249605606
198	0.07234541696
199	0.07219025617
